questions,answers,categories,tags
i need to get a new security ID badge,Security ID badges and office access are managed by the Facilities or Building Security department, not IT. Please contact them for a replacement.,Miscellaneous,id badge
how do i access my work files from my home computer?,For security reasons, accessing work files from a personal computer is generally not allowed. You must use your company-issued laptop and connect via VPN.,Security,remote access
my email is sending out spam to my contacts,If this is happening, your account has likely been compromised. Disconnect from the network, change your password immediately from a different device, and report it to the IT security hotline.,Security,hacked
how do i find out what software is installed on my computer?,You can see a list of installed programs in the 'Apps & features' section of your Windows settings or in the Software Center.,Software,installed software
i need to give a presentation, how do i connect to the AV system?,Each meeting room has instructions for its specific Audio/Visual system. Please arrive a few minutes early to familiarize yourself with the setup. For large events, you can request AV support from IT.,Peripherals,av system
my computer's warranty status,IT Asset Management tracks the warranty status of all company hardware. If you are having issues, log a ticket, and they will determine if the device is covered for repair.,Hardware,warranty
how do i find the IT department's internal blog or news page?,The IT department posts news, updates, and outage information on the main intranet homepage and on their dedicated section within the portal.,Miscellaneous,it news
i need to request a software for my entire team,If you need a software license for multiple users, your manager should submit a bulk request through the IT procurement portal with the business case and user list.,Software,bulk license
my computer is not detecting the second monitor,Ensure the monitor is powered on and the display cable is securely connected to both the monitor and your docking station or laptop. Try pressing the Windows key + P to open the project menu and select 'Extend'.,Hardware,dual monitor
how do i clear the cache and cookies in my web browser?,In your browser's settings, find the 'Privacy and security' section. From there, you should see an option to 'Clear browsing data', where you can select cookies and cache.,Software,browser cache
i need to access a website that is blocked by the company firewall,If you have a business reason to access a blocked website, you can submit a firewall exception request through the IT security portal. It will require manager approval.,Security,firewall
my computer's time zone is incorrect,You can change the time zone in your computer's 'Date & Time' settings. Make sure to also check the option to set the time zone automatically if available.,Miscellaneous,time zone
how do i find a list of all network printers?,In your computer's 'Printers & Scanners' settings, you can click 'Add a printer' and the system will search for all available network printers you can connect to.,Peripherals,printer list
i need to get my company phone repaired,If your company-issued mobile device is broken, please log a ticket with the IT asset management team. They will guide you on the repair or replacement process.,Hardware,mobile repair
how do i set up a personal hotspot on my company phone?,Using your company phone as a personal hotspot may be restricted by policy or may incur data charges. Please check the mobile device policy or consult your manager.,Network & Connectivity,hotspot
i am having trouble with a specific feature in excel,For help with advanced features in standard software like Microsoft Office, you can use the built-in 'Help' menu or access the official online training resources provided by Microsoft.,Software,excel help
how do i find my computer's name?,You can find your computer's name by right-clicking on 'This PC' or 'My Computer' and selecting 'Properties', or by running `hostname` in a command prompt.,Miscellaneous,computer name
i need to know the company's policy on social media use,The social media policy is maintained by the HR and Corporate Communications departments. You can find the official document on the company's intranet portal.,Miscellaneous,policy
how do i connect my laptop to the wired network in the office?,Simply plug a network cable into your laptop's ethernet port or into your docking station. The connection should be established automatically.,Network & Connectivity,wired network
my email search is not working correctly,If Outlook search is failing, it may need to be re-indexed. You can do this from Outlook's 'Search Options' menu. This process can take some time.,Email & Communication,search index
i need to create a complex password, a good password should be long (at least 12 characters) and include a mix of uppercase letters, lowercase letters, numbers, and symbols. Avoid using personal information.,Password & Access,strong password
how do i find out the specs of my computer (ram, cpu)?,You can view your computer's specifications by right-clicking on 'This PC' or 'My Computer' and selecting 'Properties', or by opening the 'System Information' application.,Hardware,specifications
i need to request a new desk phone,If your desk phone is broken or you need one for a new desk, please submit a request through the IT helpdesk portal.,Peripherals,desk phone
how do i find the it service catalog?,The IT Service Catalog, which lists all available IT services and how to request them, is available on the main page of the IT helpdesk portal.,Miscellaneous,service catalog
my computer is not going to sleep automatically,Check your power and sleep settings in your computer's control panel. An application or connected device may also be preventing it from sleeping.,Hardware,sleep mode
how do i find the wifi password for the guest network?,The guest WiFi network does not require a password, but it does require you to accept the terms and conditions on a web portal that opens after you connect.,Network & Connectivity,guest wifi
i need to access a public folder in outlook,Public folders can be found in the 'Folders' pane in Outlook, usually at the bottom of the list. If you don't see it, it may be collapsed.,Email & Communication,public folder
how do i find my ip phone's extension number?,Your phone's extension number is usually displayed on its home screen. It's also listed in your profile in the company directory.,Peripherals,extension
i am getting an error message that i don't understand,Please take a screenshot of the full error message and log a ticket with the IT helpdesk. The exact text of the error is very important for troubleshooting.,Software,error message
how do i find out if there is a system outage?,IT communicates all planned and unplanned outages via email, on the intranet homepage, and on the dedicated IT Service Status page.,Miscellaneous,outage
i need to set up a recurring task in my to-do list app,In most to-do list applications, when you create a task, there is an option to set a due date and a recurrence pattern (e.g., daily, weekly).,Software,to-do list
how do i find the company's organization chart?,The official organization chart is maintained by HR and is typically available for viewing on the HR portal or the company intranet.,Miscellaneous,org chart
i need to access the company's brand assets (logos, templates),Brand assets and marketing materials are managed by the Marketing department. You can usually find them in a dedicated library on the intranet or a shared drive.,Miscellaneous,brand assets
how do i find my network drive quota?,Information about storage quotas for your personal network drive (H: drive) can be found by right-clicking the drive and selecting 'Properties'. Shared drive quotas are managed by IT.,Data Management,quota
i need to request a change to a website,To request a change or report an issue with a company website, please contact the web development team or the department that owns the site.,Miscellaneous,website change
my computer is not recognizing my smart card reader,Ensure the smart card reader is properly plugged in. You may also need to install specific drivers for it, which can be found on the IT portal.,Peripherals,smart card
how do i find the it support phone number?,The IT support hotline number is listed on the IT portal, in the company directory, and is often on a sticker on your laptop or monitor.,Miscellaneous,support number
i need to get my laptop's screen repaired,If your screen is cracked or damaged, please log a ticket with the IT hardware team. They will assess the damage and coordinate a repair or replacement.,Hardware,screen repair
how do i find the company's travel booking portal?,The travel booking portal is usually linked from the main intranet page or is managed by the finance or administration department.,Miscellaneous,travel portal
i need to access a restricted file share,Access to restricted file shares requires approval from the data owner of that share. Please contact them first, and they can then authorize IT to grant you access.,Data Management,restricted access
my computer is not updating windows,Windows updates are managed by IT and are pushed out in phases. If your computer has not updated in a long time, please connect it to the office network and leave it on overnight.,Software,windows update
how do i find the company's code of conduct?,The Code of Conduct is a key HR document and is available for all employees to read on the company's intranet or HR portal.,Miscellaneous,policy
i need to request a new software for my personal computer,IT support and software licensing are only for company-owned devices. We cannot provide software for personal computers.,Software,personal device
how do i find the it knowledge base?,The IT knowledge base, with many self-help articles and guides, is available on the IT helpdesk portal.,Miscellaneous,knowledge base
my computer is overheating and shutting down,This is a serious sign of a hardware problem. Please stop using the computer immediately and log a critical ticket with the IT hardware support team.,Hardware,overheating
how do i find the company's emergency procedures?,Emergency procedures, including fire evacuation routes and assembly points, are managed by the Health & Safety department and are posted throughout the office.,Miscellaneous,emergency
i need to request a new chair for my desk,Ergonomic requests like new chairs are handled by the Facilities or HR department. Please contact them to discuss your needs.,Miscellaneous,ergonomics
how do i find the company's social media accounts?,Links to the company's official social media accounts (LinkedIn, Twitter, etc.) are usually in the footer of the public company website and the intranet.,Miscellaneous,social media
i need to get my personal phone connected to the company email,Please follow the BYOD (Bring Your Own Device) guide on the IT portal. It will walk you through installing the necessary security software to get your email connected.,Security,byod
my computer is not recognizing my fingerprint reader,Try cleaning the fingerprint reader with a soft, dry cloth. You can also try re-registering your fingerprint in your computer's sign-in options settings.,Hardware,fingerprint
how do i find the company's mission statement?,The company's mission and vision statements are usually found in the 'About Us' section of the public website and on the intranet.,Miscellaneous,company info
i need to request a new telephone headset,If your headset is broken or you need one for your role, you can request one through the IT procurement portal with your manager's approval.,Peripherals,headset
how do i find the company's annual report?,The company's annual reports and financial statements are public information and are available in the 'Investors' section of the main company website.,Miscellaneous,investor relations
i need to get access to a test environment,Access to test or development environments is managed by the application development teams. Please contact the relevant team for the system you need to test.,Software,test environment
my computer is not playing any sound,Check that your sound is not muted and that the correct playback device (e.g., speakers, headset) is selected in your sound settings. Try restarting the computer as well.,Hardware,audio
how do i find the company's policy on data retention?,The official data retention policy, which outlines how long different types of data are kept, is a legal document available on the intranet or from the compliance department.,Data Management,data retention
i need to request a new video conferencing license,If you need a licensed account for a video conferencing tool (e.g., Zoom, Webex), please submit a request through the IT portal with a business justification.,Software,license
my computer is not recognizing my external hard drive,Ensure the external hard drive has power if it needs it. Try a different USB cable and a different USB port. The drive may also need to be formatted to be compatible with your computer.,Hardware,external drive
how do i find the company's privacy policy?,The company's privacy policy, which details how we handle customer and employee data, is available on our public website and the intranet.,Security,privacy policy
i need to get a new laptop battery,If your laptop's battery health is poor and it no longer holds a charge, you can request a replacement battery through the IT hardware support team.,Hardware,battery
how do i find the company's style guide?,The company's brand and style guide, which details correct logo usage, fonts, and colors, is maintained by the Marketing department and is available on the intranet.,Miscellaneous,style guide
i need to request a new software for a project,If a project requires a specific software not on the standard list, the project manager should submit a request to IT with the project details and justification.,Software,project software
my computer is not connecting to the internet via ethernet cable,Ensure the cable is plugged in securely at both ends (computer and wall port). Check if the lights on the ethernet port are blinking. Try a different cable or port if possible.,Network & Connectivity,ethernet
how do i find the company's terms of service?,The terms of service for our products and services are available on our public website, typically linked in the footer.,Miscellaneous,terms of service
i need to get my computer's operating system reinstalled,Reinstalling the OS is a last resort. Please log a ticket with IT support to troubleshoot your issue first. If necessary, they will back up your data and re-image the machine.,Software,reinstall os
how do i find the company's employee handbook?,The employee handbook is a key HR document that you should have received during onboarding. It is also available for download on the HR portal.,Miscellaneous,hr
i need to request a new monitor stand,If you need an adjustable monitor stand for ergonomic reasons, please contact the HR or Facilities department to discuss your requirements.,Hardware,monitor stand
my computer is not displaying on the external monitor,Press the Windows key + P to open the project menu and ensure you have selected 'Extend' or 'Duplicate'. Also, check that the monitor is on the correct input source (e.g., HDMI, DisplayPort).,Hardware,external display
how do i find the company's press kit?,The company's official press kit is maintained by the Public Relations or Corporate Communications team and is usually available in the 'News' or 'Media' section of the website.,Miscellaneous,press kit
i need to get my computer's memory (ram) upgraded,RAM upgrades are only performed if there is a specific business need for running memory-intensive applications. This requires manager approval and a justification submitted to IT.,Hardware,ram upgrade
how do i find the company's list of office locations?,A list of all office locations, with addresses and contact information, is available on the 'Contact Us' page of the public website and on the intranet.,Miscellaneous,office locations
i need to request a new ergonomic mouse,If you are experiencing discomfort, you can request an ergonomic mouse through the HR or Facilities department. They may require a workstation assessment.,Peripherals,ergonomic mouse
my computer is not recognizing my sd card,Ensure the SD card is inserted correctly into the slot. The card or the reader may be faulty. Try the card in another device to check if it works.,Hardware,sd card
how do i find the company's careers or jobs page?,The careers page, with all open job listings, is on our public website. There may also be an internal-only job board on the intranet.,Miscellaneous,careers
i need to get my computer's hard drive replaced,Hard drive replacements are only done if the current drive is failing. If you are experiencing issues like slow performance or errors, please log a ticket for a hardware diagnostic.,Hardware,hard drive
how do i find the company's sitemap?,A sitemap for the public website is usually linked in the footer or can be found by adding /sitemap.xml to the main domain.,Miscellaneous,sitemap
i need to request a new software for data analysis,There are several pre-approved data analysis tools available in the Software Center. If you need something different, please log a request with a clear business case.,Software,data analysis
my computer is not booting up at all,If there are no lights or sounds when you press the power button, ensure the power cable is securely connected to both the computer and the wall outlet. It may be a power supply failure.,Hardware,no boot
how do i find the company's investor relations contact?,The contact information for the investor relations team is available in the 'Investors' section of our public website.,Miscellaneous,investor relations
i need to get my computer's graphics card upgraded,Graphics card upgrades are generally not performed on standard office laptops or desktops. This is only for specialized roles that require high-end graphics processing.,Hardware,graphics card
how do i find the company's corporate social responsibility report?,The CSR report is usually published annually and can be found in the 'About Us' or 'Social Responsibility' section of the company website.,Miscellaneous,csr
i need to request a new software for video editing,Video editing software requires a powerful computer and a specific license. Please submit a request through the IT portal with your project details and manager approval.,Software,video editing
my computer is not recognizing my microphone,Ensure the microphone is not muted and is selected as the default recording device in your computer's sound settings. Test it in your operating system before using it in an application.,Peripherals,microphone
how do i find the company's board of directors?,A list of the board of directors is available in the 'Corporate Governance' or 'Investor' section of our public website.,Miscellaneous,board of directors
i need to get my computer's fan cleaned,If your computer is overheating or the fan is very loud, it may be clogged with dust. Please log a ticket with the IT hardware team to arrange for an internal cleaning.,Hardware,fan cleaning
how do i find the company's privacy officer contact?,The contact details for the Data Privacy Officer (DPO) are listed in the company's official privacy policy document.,Security,dpo
i need to request a new software for project management,The company has a standard project management tool. If your project has unique needs that it cannot meet, please log a request with IT to discuss alternatives.,Software,project management
my computer is not connecting to the bluetooth speaker,Ensure the speaker is in pairing mode. Remove the speaker from your computer's list of Bluetooth devices and then try adding it again as a new device.,Peripherals,bluetooth
how do i find the company's stock symbol?,The company's stock ticker symbol is listed at the top of the 'Investors' page on our public website.,Miscellaneous,stock symbol
i need to get my computer's case or chassis replaced,Physical damage to a computer's case is typically not covered for repair unless it impacts the functionality of the internal components. Please log a ticket for an assessment.,Hardware,case damage
how do i find the company's founding date?,The company's history, including its founding date, is often mentioned in the 'About Us' section of the public website.,Miscellaneous,company history
i need to request a new software for customer relationship management (crm),The company uses a single, centralized CRM system. All employees who need access should be trained on this system. Requests for different CRM software will not be approved.,Software,crm
my computer is not recognizing my second hard drive,If you have a desktop with a second internal hard drive that is not appearing, it may be disconnected or have failed. Please contact IT support for a hardware check.,Hardware,internal drive
how do i find the company's list of patents?,Information about the company's patents may be available through public patent office databases or mentioned in our technical publications.,Miscellaneous,patents
i need to get my computer's power supply unit (psu) replaced,If your desktop computer is not turning on, it may be a PSU failure. Please log a ticket with IT support to diagnose the issue and arrange a replacement if necessary.,Hardware,psu
how do i find the company's official address?,The company's registered head office address is listed on the 'Contact Us' page of our public website and in official financial reports.,Miscellaneous,address
i need to request a new software for accounting,All accounting and financial software is strictly managed by the Finance department. Please contact them for any software or access needs related to finance.,Software,accounting
my computer is not recognizing my dvd drive,Modern laptops often do not have DVD drives. If you have an external one, ensure it is plugged in correctly. The drive or the disc may be dirty or damaged.,Hardware,dvd drive
how do i find the company's number of employees?,The approximate number of employees is often mentioned in the 'About Us' section of the website or in annual reports.,Miscellaneous,employee count
i need to get my computer's motherboard replaced,A motherboard failure is a critical issue that often requires the entire computer to be replaced. Please contact IT support immediately for a diagnostic and to arrange for a new machine.,Hardware,motherboard
how do i find the company's list of executives?,The senior leadership team or executive committee is listed in the 'About Us' or 'Corporate Governance' section of our website.,Miscellaneous,executives
i need to request a new software for human resources (hr),All HR software is managed by the Human Resources department. Please contact them directly for any needs related to HR systems.,Software,hr software
my computer is not recognizing my network adapter,This is a serious hardware or driver issue. Please try restarting your computer. If the network adapter is still not found, you will need to contact IT support as you won't have connectivity.,Network & Connectivity,network adapter
how do i find the company's contact number for sales inquiries?,The sales department's contact information is available on the 'Contact Us' page of our public website.,Miscellaneous,sales contact
i need to get my computer's cpu or processor upgraded,The CPU is a core component and is not upgradeable on laptops or most office desktops. A computer replacement would be required for a faster processor.,Hardware,cpu upgrade
how do i find the company's support email address?,The best way to get support is to log a ticket on the IT portal. The general support email address is also listed on the portal's contact page.,Miscellaneous,support email
i need to request a new software for inventory management,Inventory management systems are typically managed by the operations or logistics department. Please contact them for your software needs.,Software,inventory
my computer is not recognizing my webcam's microphone,Some webcams have a separate microphone that needs to be enabled or selected as the default recording device in your computer's sound settings.,Peripherals,webcam mic
how do i find the company's fax number?,The company's main fax number, if available, is listed on the 'Contact Us' page of the website. However, email and digital documents are the preferred method of communication.,Miscellaneous,fax number
i need to get my computer's bios updated,BIOS updates are performed by IT only when necessary to fix a critical security or hardware compatibility issue. This is not a routine update for users.,Hardware,bios update
how do i find the company's business hours?,Standard business hours for most office locations are listed on the 'Contact Us' page of the website. Support hours may differ.,Miscellaneous,business hours
i need to request a new software for enterprise resource planning (erp),The company has a single, central ERP system. All employees who need access should be trained on this system. Requests for different ERP software will not be approved.,Software,erp
my computer is not recognizing my graphics tablet (e.g., wacom),Ensure the tablet's drivers are installed correctly. You can download the latest drivers from the manufacturer's website, but you may need IT to install them.,Peripherals,graphics tablet
how do i find the company's legal department contact?,For legal inquiries, please refer to the contact information on the 'Legal' or 'Terms of Service' page on our website. Internal employees can find the legal team in the directory.,Miscellaneous,legal contact
i need to get my computer's sound card replaced,Sound cards are integrated into the motherboard on modern computers and cannot be replaced. If your sound is not working, it is likely a driver or software issue, not a hardware failure.,Hardware,sound card
how do i find the company's mailing address?,The company's primary mailing address is on the 'Contact Us' page of our public website.,Miscellaneous,mailing address
i need to request a new software for supply chain management,Supply chain management software is managed by the operations department. Please direct your software requests to them.,Software,supply chain
my computer is not recognizing my tv tuner card,TV tuner cards are not standard hardware. If you have one for a specific business purpose, ensure its drivers are installed. IT provides limited support for non-standard peripherals.,Peripherals,tv tuner
how do i find the company's customer service phone number?,The customer service hotline is prominently displayed on the 'Support' or 'Contact Us' page of our public website.,Miscellaneous,customer service
i need to get my computer's network card (nic) replaced,The network card is integrated into the motherboard and cannot be replaced. If it has failed, IT may provide a USB network adapter as a workaround or replace the computer.,Hardware,nic
how do i find the company's human resources (hr) contact?,Internal employees can find the HR department's contact information on the intranet portal. External inquiries can be directed through the main company contact number.,Miscellaneous,hr contact
i need to request a new software for manufacturing execution system (mes),MES software is managed by the manufacturing or plant operations team. Please contact them for any software needs related to the factory floor.,Software,mes
my computer is not recognizing my capture card,Capture cards are specialized hardware. Please ensure the correct drivers and software from the manufacturer are installed. IT provides limited support for such devices.,Peripherals,capture card
how do i find the company's media relations contact?,Contact information for the media relations or public relations team is available in the 'News' or 'Media' section of our website.,Miscellaneous,media relations
i need to get my computer's wi-fi card replaced,The WiFi card is an internal component. If it has failed, IT will need to diagnose the issue. They may provide a USB WiFi adapter as a temporary fix or replace the laptop.,Hardware,wifi card
how do i find the company's investor relations email?,The investor relations email address is available in the 'Investors' section of our public website.,Miscellaneous,investor email
i need to request a new software for product lifecycle management (plm),PLM software is managed by the engineering or product development department. Please direct your software requests to them.,Software,plm
my computer is not recognizing my raid controller,RAID controllers are specialized server-grade hardware and are not found in standard office computers. If you are having issues with a server, please contact the infrastructure team.,Hardware,raid
how do i find the company's public relations (pr) contact?,Contact information for the PR team is available in the 'News' or 'Media' section of our website.,Miscellaneous,pr contact
i need to get my computer's cmos battery replaced,The CMOS battery maintains the system's time and BIOS settings. If it fails, you may see errors on startup. This is a quick repair that the IT hardware team can perform.,Hardware,cmos battery
how do i find the company's registered agent?,The company's registered agent for legal matters is listed in official state or federal business filings.,Miscellaneous,legal
i need to request a new software for quality management system (qms),QMS software is typically managed by the quality assurance or compliance department. Please contact them for your software needs.,Software,qms
my computer is not recognizing my firewire port,Firewire is an older standard and is not common on new computers. If you need to connect a Firewire device, you may need a special adapter. IT support for this is limited.,Hardware,firewire
how do i find the company's transfer agent?,The company's transfer agent, which manages shareholder records, is listed in the 'Investors' section of our website.,Miscellaneous,transfer agent
i need to get my computer's cpu fan replaced,If your computer's CPU fan has failed, it will likely overheat and shut down. This is a critical repair that the IT hardware team needs to perform immediately.,Hardware,cpu fan
how do i find the company's auditor?,The company's external auditor is disclosed in our annual financial reports, which are available on the 'Investors' page of our website.,Miscellaneous,auditor
i need to request a new software for warehouse management system (wms),WMS software is managed by the logistics or warehouse operations team. Please contact them for any software needs.,Software,wms
my computer is not recognizing my esata port,eSATA is an external connection standard that is not common on modern office computers. You may need a specific adapter or driver. IT support for this is limited.,Hardware,esata
how do i find the company's board of directors' compensation?,Information on director compensation is detailed in the company's annual proxy statement, filed with the SEC and available on the 'Investors' page.,Miscellaneous,compensation
i need to get my computer's case fan replaced,If a case fan in your desktop computer has failed, it can lead to higher temperatures. This is a simple replacement that the IT hardware team can do.,Hardware,case fan
how do i find the company's executive compensation?,Details on executive compensation are provided in the annual proxy statement, which is available to the public in the 'Investors' section of our website.,Miscellaneous,compensation
i need to request a new software for transportation management system (tms),TMS software is managed by the logistics or shipping department. Please direct your software requests to them.,Software,tms
my computer is not recognizing my parallel port,Parallel ports are a legacy standard and have been replaced by USB. They are not found on modern computers, and IT does not support devices that require them.,Hardware,parallel port
how do i find the company's insider trading policy?,The insider trading policy is a key legal and compliance document. It is provided to all employees and is available for review on the company intranet.,Security,insider trading
i need to get my computer's power supply fan replaced,If the fan in your desktop's power supply is failing, it may make a loud noise. The entire power supply unit will need to be replaced by IT.,Hardware,psu fan
how do i find the company's whistleblower policy?,The whistleblower policy, which protects employees who report misconduct, is managed by the legal and compliance department and is available on the intranet.,Miscellaneous,whistleblower
i need to request a new software for content management system (cms),The company's websites and intranet run on a specific CMS. Requests for different CMS software will not be approved. For access, contact the web team.,Software,cms
my computer is not recognizing my serial port,Serial ports are a legacy standard that has been replaced by USB. They are not found on modern computers, and IT does not support devices that require them.,Hardware,serial port
how do i find the company's data breach notification policy?,The procedure for notifying customers and authorities in the event of a data breach is a key part of our incident response plan, managed by the IT security and legal teams.,Security,data breach
i need to get my computer's northbridge fan replaced,Northbridge/southbridge chipsets are part of the motherboard and do not have separate fans in modern computers. If you are having issues, it is likely a motherboard failure.,Hardware,motherboard
how do i find the company's record retention schedule?,The official record retention schedule, detailing how long various types of documents must be stored, is managed by the legal and compliance department.,Data Management,record retention
i need to request a new software for learning management system (lms),The company has a single, central LMS for all training. Requests for different LMS software will not be approved. For access or course creation, contact the training department.,Software,lms
my computer is not recognizing my ps/2 port,PS/2 ports for keyboards and mice are a legacy standard replaced by USB. They are not found on modern computers, and IT does not support PS/2 devices.,Hardware,ps/2
how do i find the company's disaster recovery plan?,The company's disaster recovery and business continuity plans are confidential documents managed by the IT and operations leadership. Summaries may be available on the intranet.,Security,disaster recovery
i need to get my computer's southbridge fan replaced,Northbridge/southbridge chipsets are part of the motherboard and do not have separate fans in modern computers. If you are having issues, it is likely a motherboard failure.,Hardware,motherboard
how do i find the company's business continuity plan?,The company's business continuity plan, which outlines how we operate during a disruption, is a confidential document managed by senior leadership.,Security,business continuity
i need to request a new software for electronic health record (ehr) system,EHR systems are used in healthcare and are not applicable to our business. We do not support this type of software.,Software,ehr
my computer is not recognizing my vga port,VGA is an older video standard. Modern computers use HDMI or DisplayPort. You may need an adapter to connect to a VGA monitor, but performance may be degraded.,Hardware,vga
how do i find the company's incident response plan?,The IT incident response plan is a confidential document used by the IT security team to manage security events like cyberattacks.,Security,incident response
i need to get my computer's graphics card fan replaced,If the fan on your desktop's dedicated graphics card has failed, the card may overheat. The fan or the entire card will need to be replaced by IT.,Hardware,gpu fan
how do i find the company's acceptable use policy (aup)?,The AUP, which governs how you can use company IT resources, is a key policy you agree to upon joining. It is available for review on the IT portal.,Security,aup
i need to request a new software for medical practice management,This type of software is for healthcare clinics and is not used in our business. We do not support this software.,Software,medical
my computer is not recognizing my dvi port,DVI is a video standard that is less common now than HDMI or DisplayPort. You may need an adapter to connect to a DVI monitor.,Hardware,dvi
how do i find the company's security policy?,The main Information Security Policy document is available on the IT portal. It outlines the rules for protecting company data and systems.,Security,security policy
i need to get my computer's chipset fan replaced,Chipsets on modern motherboards are passively cooled and do not have fans. If your computer is overheating, the issue is likely with the CPU or case fans.,Hardware,motherboard
how do i find the company's password policy?,The password policy, detailing requirements for length, complexity, and expiration, is available on the IT portal and is enforced automatically.,Password & Access,password policy
i need to request a new software for picture archiving and communication system (pacs),PACS is a medical imaging technology and is not used in our business. We do not support this type of software.,Software,pacs
my computer is not recognizing my hdmi port,Ensure the HDMI cable is securely plugged in at both ends. Try a different cable or a different HDMI port if available. The issue could also be with the monitor or TV.,Hardware,hdmi
how do i find the company's data classification policy?,The data classification policy, which defines public, internal, and confidential data, is a key security document available on the intranet.,Data Management,data classification
i need to get my computer's memory fan replaced,RAM modules do not have fans. If you believe there is an issue with overheating, it is related to the case, CPU, or power supply fans.,Hardware,ram
how do i find the company's remote access policy?,The policy for accessing company systems remotely is available on the IT portal and outlines the requirements for using VPN and secure connections.,Security,remote access
i need to request a new software for radiological information system (ris),RIS is a medical system and is not used in our business. We do not support this type of software.,Software,radiology
my computer is not recognizing my displayport,Ensure the DisplayPort cable is plugged in securely. This standard can be sensitive to a loose connection. Try reversing the cable or using a different port.,Hardware,displayport
how do i find the company's encryption policy?,The encryption policy, which specifies when and how data must be encrypted (e.g., on laptops, during transfer), is available on the IT security portal.,Security,encryption
i need to get my computer's hard drive fan replaced,Hard drives do not have fans. If you hear a noise from the hard drive area, it may be the drive itself failing. Please back up your data and contact IT immediately.,Hardware,hard drive
how do i find the company's mobile device management (mdm) policy?,The policy regarding how personal and company-owned mobile devices are managed is part of the BYOD and mobile security documents on the IT portal.,Security,mdm
i need to request a new software for laboratory information system (lis),LIS is a medical lab system and is not used in our business. We do not support this type of software.,Software,laboratory
my computer is not recognizing my thunderbolt port,Ensure you are using a compatible Thunderbolt device and cable. Not all USB-C cables support Thunderbolt. Try restarting the computer and reconnecting the device.,Hardware,thunderbolt
how do i find the company's software license management policy?,The policy on how software licenses are procured, assigned, and audited is managed by the IT asset management team.,Software,license management
i need to get my computer's solid state drive (ssd) fan replaced,SSDs are solid-state and have no moving parts, so they do not have fans. Any fan noise is coming from another component like the CPU or case fan.,Hardware,ssd
how do i find the company's patch management policy?,The patch management policy, which describes how and when we apply security patches to systems, is an internal IT document. A summary of our approach is on the security portal.,Security,patch management
i need to request a new software for clinical trial management system (ctms),CTMS is a system for clinical research and is not used in our business. We do not support this type of software.,Software,clinical trial
my computer is not recognizing my usb-c port,Ensure the USB-C cable is fully inserted. Try flipping the cable over. The port may be for charging only and not support data or video on some devices. Check your device's specs.,Hardware,usb-c
how do i find the company's change management policy?,The IT change management policy, which governs how we test and deploy changes to production systems to minimize disruption, is an internal IT process document.,Miscellaneous,change management
i need to get my computer's m.2 drive fan replaced,M.2 drives are solid-state and do not have fans. Some high-performance drives have passive heat sinks, but any fan noise would be from other system components.,Hardware,m.2
how do i find the company's vendor management policy?,The policy for selecting and managing third-party vendors is typically managed by the procurement or finance department.,Miscellaneous,vendor management
i need to request a new software for student information system (sis),SIS is for educational institutions and is not used in our business. We do not support this type of software.,Software,sis
my computer is not recognizing my mini displayport,Mini DisplayPort requires a specific cable or adapter. Ensure you are using the correct one and that it is securely connected.,Hardware,mini displayport
how do i find the company's data backup and recovery policy?,The policy outlining what data is backed up, how often, and the process for recovery is a key IT document. A summary is available on the IT portal.,Data Management,backup policy
i need to get my computer's nvme drive fan replaced,NVMe drives are solid-state and do not have fans. They can get warm and may have a heat sink, but they are silent. Any fan noise is from another computer component.,Hardware,nvme
how do i find the company's social engineering awareness program?,Information about our security awareness training, including how to spot phishing and other social engineering tactics, is available on the IT security portal.,Security,security awareness
i need to request a new software for library management system,This type of software is for libraries and is not used in our business. We do not support this software.,Software,library
my computer is not recognizing my micro hdmi port,Micro HDMI requires a specific adapter or cable. Ensure you are using the correct one and that it is fully inserted, as the connection can be delicate.,Hardware,micro hdmi
how do i find the company's physical security policy?,The policy regarding office access, ID badges, and securing physical areas is managed by the Facilities and Security departments.,Security,physical security
i need to get my computer's sata drive fan replaced,SATA drives (both SSDs and HDDs) do not have their own fans. The cooling for them comes from the main computer case fans.,Hardware,sata
how do i find the company's clean desk policy?,The clean desk policy, which requires you to secure sensitive documents and lock your computer when you are away from your desk, is part of the main security policy.,Security,clean desk
i need to request a new software for legal practice management,Legal software is managed by the legal department. Please contact them for any software needs related to legal practice.,Software,legal
my computer is not recognizing my mini vga port,Mini VGA is an uncommon, legacy port. You will need a specific adapter for it. IT has a limited supply of these for older projectors.,Hardware,mini vga
how do i find the company's data privacy policy?,The data privacy policy, outlining our commitment to protecting personal data, is available on our public website and the company intranet.,Security,privacy policy
i need to get my computer's pcie card fan replaced,Some high-end PCIe cards, like graphics cards or network cards, have their own fans. If one is failing, the entire card may need to be replaced by IT.,Hardware,pcie
how do i find the company's email usage policy?,The policy on the appropriate use of company email is part of the main Acceptable Use Policy (AUP) available on the IT portal.,Email & Communication,email policy
i need to request a new software for real estate property management,This is a specialized software. Please check with the Facilities or Real Estate department to see what software they use and recommend.,Software,real estate
my computer is not recognizing my esatap port,eSATAp is a combination port that is very uncommon. IT does not provide support for devices that use this connection.,Hardware,esatap
how do i find the company's internet usage policy?,The policy on acceptable internet usage on the company network is part of the main Acceptable Use Policy (AUP) available on the IT portal.,Security,internet policy
